num,auc,disease
112,0.8413419913419914,Autoinflammation of unknown origin
113,0.8413419913419914,Autoinflammation of unknown origin
114,0.8413419913419914,Autoinflammation of unknown origin
115,0.8413419913419914,Autoinflammation of unknown origin
116,0.8413419913419914,Autoinflammation of unknown origin
117,0.8413419913419914,Autoinflammation of unknown origin
118,0.8413419913419914,Autoinflammation of unknown origin
119,0.8413419913419914,Autoinflammation of unknown origin
120,0.8413419913419914,Autoinflammation of unknown origin
121,0.8413419913419914,Autoinflammation of unknown origin
122,0.8413419913419914,Autoinflammation of unknown origin
123,0.8413419913419914,Autoinflammation of unknown origin
124,0.8413419913419914,Autoinflammation of unknown origin
125,0.8413419913419914,Autoinflammation of unknown origin
126,0.8413419913419914,Autoinflammation of unknown origin
127,0.8413419913419914,Autoinflammation of unknown origin
128,0.8413419913419914,Autoinflammation of unknown origin
129,0.8413419913419914,Autoinflammation of unknown origin
130,0.8413419913419914,Autoinflammation of unknown origin
131,0.8413419913419914,Autoinflammation of unknown origin
132,0.8413419913419914,Autoinflammation of unknown origin
133,0.8413419913419914,Autoinflammation of unknown origin
134,0.8413419913419914,Autoinflammation of unknown origin
135,0.8413419913419914,Autoinflammation of unknown origin
136,0.8413419913419914,Autoinflammation of unknown origin
137,0.8322510822510819,Autoinflammation of unknown origin
138,0.8322510822510819,Autoinflammation of unknown origin
139,0.8322510822510819,Autoinflammation of unknown origin
140,0.8322510822510819,Autoinflammation of unknown origin
141,0.8322510822510819,Autoinflammation of unknown origin
142,0.8322510822510819,Autoinflammation of unknown origin
143,0.8322510822510819,Autoinflammation of unknown origin
144,0.8413419913419914,Autoinflammation of unknown origin
145,0.8322510822510819,Autoinflammation of unknown origin
146,0.8322510822510819,Autoinflammation of unknown origin
147,0.8413419913419914,Autoinflammation of unknown origin
148,0.8322510822510819,Autoinflammation of unknown origin
149,0.8413419913419914,Autoinflammation of unknown origin
150,0.8322510822510819,Autoinflammation of unknown origin
151,0.8322510822510819,Autoinflammation of unknown origin
152,0.8322510822510819,Autoinflammation of unknown origin
153,0.8322510822510819,Autoinflammation of unknown origin
154,0.8322510822510819,Autoinflammation of unknown origin
155,0.8322510822510819,Autoinflammation of unknown origin
156,0.8322510822510819,Autoinflammation of unknown origin
157,0.8322510822510819,Autoinflammation of unknown origin
158,0.8322510822510819,Autoinflammation of unknown origin
159,0.8322510822510819,Autoinflammation of unknown origin
160,0.8322510822510819,Autoinflammation of unknown origin
161,0.8322510822510819,Autoinflammation of unknown origin
162,0.8322510822510819,Autoinflammation of unknown origin
163,0.8405844155844158,Autoinflammation of unknown origin
164,0.8405844155844158,Autoinflammation of unknown origin
165,0.8405844155844158,Autoinflammation of unknown origin
166,0.8405844155844158,Autoinflammation of unknown origin
167,0.8405844155844158,Autoinflammation of unknown origin
168,0.8405844155844158,Autoinflammation of unknown origin
169,0.8322510822510819,Autoinflammation of unknown origin
170,0.8322510822510819,Autoinflammation of unknown origin
171,0.8322510822510819,Autoinflammation of unknown origin
172,0.8322510822510819,Autoinflammation of unknown origin
173,0.8322510822510819,Autoinflammation of unknown origin
174,0.8322510822510819,Autoinflammation of unknown origin
175,0.8322510822510819,Autoinflammation of unknown origin
176,0.8322510822510819,Autoinflammation of unknown origin
177,0.8322510822510819,Autoinflammation of unknown origin
178,0.8322510822510819,Autoinflammation of unknown origin
179,0.8405844155844158,Autoinflammation of unknown origin
180,0.8405844155844158,Autoinflammation of unknown origin
181,0.8405844155844158,Autoinflammation of unknown origin
182,0.8405844155844158,Autoinflammation of unknown origin
183,0.8405844155844158,Autoinflammation of unknown origin
184,0.8405844155844158,Autoinflammation of unknown origin
185,0.8405844155844158,Autoinflammation of unknown origin
186,0.8405844155844158,Autoinflammation of unknown origin
187,0.8405844155844158,Autoinflammation of unknown origin
188,0.8405844155844158,Autoinflammation of unknown origin
189,0.8405844155844158,Autoinflammation of unknown origin
190,0.8405844155844158,Autoinflammation of unknown origin
191,0.8405844155844158,Autoinflammation of unknown origin
192,0.8405844155844158,Autoinflammation of unknown origin
193,0.8405844155844158,Autoinflammation of unknown origin
194,0.8405844155844158,Autoinflammation of unknown origin
195,0.8405844155844158,Autoinflammation of unknown origin
196,0.8405844155844158,Autoinflammation of unknown origin
197,0.8405844155844158,Autoinflammation of unknown origin
198,0.8405844155844158,Autoinflammation of unknown origin
199,0.8405844155844158,Autoinflammation of unknown origin
200,0.8405844155844158,Autoinflammation of unknown origin
201,0.8405844155844158,Autoinflammation of unknown origin
202,0.8405844155844158,Autoinflammation of unknown origin
203,0.8405844155844158,Autoinflammation of unknown origin
204,0.8405844155844158,Autoinflammation of unknown origin
205,0.8548701298701297,Autoinflammation of unknown origin
206,0.8548701298701297,Autoinflammation of unknown origin
207,0.8548701298701297,Autoinflammation of unknown origin
1,0.585,Behcet
2,0.6750000000000002,Behcet
3,0.7109090909090907,Behcet
